timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1662897396924,11,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-2,text,true,,8891,374,5,10,https://ya.ru/showcaptcha?cc=1&mt=FDEDD688AC370D856E2491399CA6944D3F6B6E620DAAD4D7BAD2C6AFBC4DB677&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/aea6da1a1b92e0ff857096eea5ed8c33&u=66662545-b56db35a-20e43be5-c767f69&s=eede51529076faef28137aa83455ce34,11,0,0
1662897396851,84,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,11096,591,5,10,https://ya.ru/showcaptcha?cc=1&mt=784904B46D5E4D77E57EFC615F6D06F13B10E3706955AFA15075987E80363A75&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/52c75667dd432a754414dbdefcf2c3fa&u=fabe1ed0-c15b7191-3baa8fa0-ade0f098&s=87c0f123d1d703c27d09a3e87d97a089,43,0,15
1662897396851,43,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1012,108,5,10,http://ya.ru/,43,0,15
1662897396894,30,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-5,,true,,1186,108,5,10,https://ya.ru/,30,0,21
1662897396924,11,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-5,text,true,,8898,375,5,10,https://ya.ru/showcaptcha?cc=1&mt=784904B46D5E4D77E57EFC615F6D06F13B10E3706955AFA15075987E80363A75&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/52c75667dd432a754414dbdefcf2c3fa&u=fabe1ed0-c15b7191-3baa8fa0-ade0f098&s=87c0f123d1d703c27d09a3e87d97a089,11,0,0
1662897396850,87,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-1,text,true,,11090,590,5,10,https://ya.ru/showcaptcha?cc=1&mt=6FFBB76AACA948798B29915F5FC7D4C0DE872D684E096745BC34DDB27287801A&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/a7c33e453536bfecdddc1ea25532537a&u=60be6fc6-1056f15-166abf86-147ee1a9&s=338976b50a4f9750c7de93832d4b9d17,44,0,15
1662897396850,44,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-1,,true,,1016,108,5,10,http://ya.ru/,44,0,15
1662897396894,31,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-1,,true,,1185,108,5,10,https://ya.ru/,31,0,21
1662897396925,12,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-1,text,true,,8889,374,5,10,https://ya.ru/showcaptcha?cc=1&mt=6FFBB76AACA948798B29915F5FC7D4C0DE872D684E096745BC34DDB27287801A&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/a7c33e453536bfecdddc1ea25532537a&u=60be6fc6-1056f15-166abf86-147ee1a9&s=338976b50a4f9750c7de93832d4b9d17,12,0,0
1662897396850,92,HTTPS Request ya.ru,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-4,text,true,,11113,591,5,10,https://ya.ru/showcaptcha?cc=1&mt=7AEFE9CEFCEF06F611859E25E0ADC0A04E26326DA4AE43EAF0D5EF69F67DBF76&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/2e0e11b9b66a2b4d3f1c54936b78a2a8&u=e4254344-12d8aabd-80399a9f-1981bdb4&s=b940eb450af6923da66fabda77a41340,37,0,13
1662897396850,37,HTTPS Request ya.ru-0,301,Moved permanently,jp@gc - Ultimate Thread Group ya.ru 1-4,,true,,1013,108,5,10,http://ya.ru/,37,0,13
1662897396887,43,HTTPS Request ya.ru-1,302,Moved temporarily,jp@gc - Ultimate Thread Group ya.ru 1-4,,true,,1186,108,5,10,https://ya.ru/,43,0,30
1662897396930,12,HTTPS Request ya.ru-2,200,Ok,jp@gc - Ultimate Thread Group ya.ru 1-4,text,true,,8914,375,5,10,https://ya.ru/showcaptcha?cc=1&mt=7AEFE9CEFCEF06F611859E25E0ADC0A04E26326DA4AE43EAF0D5EF69F67DBF76&retpath=aHR0cHM6Ly95YS5ydS8__be4b26318182eedc1bcad7a3896dfc9d&t=2/1662897396/2e0e11b9b66a2b4d3f1c54936b78a2a8&u=e4254344-12d8aabd-80399a9f-1981bdb4&s=b940eb450af6923da66fabda77a41340,12,0,0
